                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                0.86719,                0.94057,                 1.2704,                0.61028,                 0.4729,                0.51971,                0.42892,                0.84896,                 1.6539,                 1.2797,               0.003202,               0.003202,               0.003202
                    105,                0.86321,                0.93992,                 1.2672,                0.55222,                0.52152,                0.51959,                0.42883,                0.84957,                 1.6539,                 1.2809,               0.003136,               0.003136,               0.003136
                    106,                0.86194,                0.91493,                 1.2649,                0.55599,                0.52073,                0.52116,                0.42947,                0.85179,                 1.6572,                 1.2835,                0.00307,                0.00307,                0.00307
                    107,                0.85731,                0.91817,                 1.2576,                0.57912,                0.50245,                0.52409,                 0.4317,                0.85145,                 1.6554,                 1.2831,               0.003004,               0.003004,               0.003004
                    108,                0.86506,                 0.9206,                 1.2588,                0.58705,                0.49711,                0.52358,                0.43082,                0.84999,                 1.6586,                 1.2815,               0.002938,               0.002938,               0.002938
                    109,                0.85356,                0.90769,                 1.2552,                0.57499,                0.50398,                 0.5229,                0.42945,                0.85034,                 1.6632,                 1.2819,               0.002872,               0.002872,               0.002872
                    110,                0.84774,                0.88388,                 1.2501,                0.54399,                 0.5261,                  0.524,                0.43067,                0.85188,                  1.661,                 1.2833,               0.002806,               0.002806,               0.002806
                    111,                0.84628,                 0.8818,                  1.248,                0.55807,                0.52039,                0.52505,                0.43022,                0.85376,                 1.6669,                 1.2857,                0.00274,                0.00274,                0.00274
                    112,                0.84245,                0.87665,                 1.2462,                0.56498,                0.51723,                0.52705,                0.43071,                0.85559,                 1.6692,                 1.2874,               0.002674,               0.002674,               0.002674
                    113,                0.83666,                 0.8661,                 1.2396,                 0.5703,                0.51691,                0.52586,                0.43025,                0.85646,                  1.672,                 1.2881,               0.002608,               0.002608,               0.002608
                    114,                0.82911,                0.86295,                 1.2386,                0.57612,                0.51386,                0.52521,                0.42997,                 0.8587,                  1.676,                 1.2903,               0.002542,               0.002542,               0.002542
